id,ts_unix_ms,x_m,y_m,theta_rad,connected,ssid,bssid,rssi_dbm,freq_mhz,roam_event,disconnect_event,disconnect_streak_s,ping_loss_pct,ping_avg_ms
1,1767920825032,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
2,1767920825537,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
3,1767920826041,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
4,1767920826543,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
5,1767920827047,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
6,1767920827551,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
7,1767920828055,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
8,1767920828559,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
9,1767920829063,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
10,1767920829567,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
11,1767920830083,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
12,1767920830587,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
13,1767920831090,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
14,1767920831593,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
15,1767920832098,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
16,1767920832602,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
17,1767920833107,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
18,1767920833611,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
19,1767920834115,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
20,1767920834619,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
21,1767920835137,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
22,1767920835641,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
23,1767920836145,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
24,1767920836648,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
25,1767920837151,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
26,1767920837655,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
27,1767920838162,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
28,1767920838665,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
29,1767920839171,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
30,1767920839674,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
31,1767920840193,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
32,1767920840696,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-58,5240,0,0,0.0,,
33,1767920841201,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-58,5240,0,0,0.0,,
34,1767920841706,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-58,5240,0,0,0.0,,
35,1767920842210,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-58,5240,0,0,0.0,,
36,1767920842715,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-50,5240,0,0,0.0,,
37,1767920843219,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-50,5240,0,0,0.0,,
38,1767920843724,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-50,5240,0,0,0.0,,
39,1767920844229,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-54,5240,0,0,0.0,,
40,1767920844732,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-52,5240,0,0,0.0,,
41,1767920845251,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-52,5240,0,0,0.0,,
42,1767920845756,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-52,5240,0,0,0.0,,
43,1767920846261,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-52,5240,0,0,0.0,,
44,1767920846765,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-52,5240,0,0,0.0,,
45,1767920847269,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-52,5240,0,0,0.0,,
46,1767920847774,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-54,5240,0,0,0.0,,
47,1767920848279,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-55,5240,0,0,0.0,,
48,1767920848783,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-52,5240,0,0,0.0,,
49,1767920849287,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-53,5240,0,0,0.0,,
50,1767920849792,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-51,5240,0,0,0.0,,
51,1767920850310,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-52,5240,0,0,0.0,,
52,1767920850813,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-52,5240,0,0,0.0,,
53,1767920851317,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-46,5240,0,0,0.0,,
54,1767920851821,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-51,5240,0,0,0.0,,
55,1767920852325,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-52,5240,0,0,0.0,,
56,1767920852830,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-50,5240,0,0,0.0,,
57,1767920853334,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-50,5240,0,0,0.0,,
58,1767920853840,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-52,5240,0,0,0.0,,
59,1767920854344,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-51,5240,0,0,0.0,,
60,1767920854848,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-52,5240,0,0,0.0,,
61,1767920855366,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-51,5240,0,0,0.0,,
62,1767920855870,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-51,5240,0,0,0.0,,
63,1767920856375,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-54,5240,0,0,0.0,,
64,1767920856880,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-54,5240,0,0,0.0,,
65,1767920857384,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-55,5240,0,0,0.0,,
66,1767920857887,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-53,5240,0,0,0.0,,
67,1767920858391,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-53,5240,0,0,0.0,,
68,1767920858896,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
69,1767920859400,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-55,5240,0,0,0.0,,
70,1767920859905,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
71,1767920860423,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-58,5240,0,0,0.0,,
72,1767920860927,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-58,5240,0,0,0.0,,
73,1767920861432,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-58,5240,0,0,0.0,,
74,1767920861936,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-53,5240,0,0,0.0,,
75,1767920862440,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-53,5240,0,0,0.0,,
76,1767920862944,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-53,5240,0,0,0.0,,
77,1767920863449,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
78,1767920863954,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
79,1767920864458,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
80,1767920864962,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
81,1767920865480,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-62,5240,0,0,0.0,,
82,1767920865984,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-62,5240,0,0,0.0,,
83,1767920866488,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-61,5240,0,0,0.0,,
84,1767920866991,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-60,5240,0,0,0.0,,
85,1767920867496,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-61,5240,0,0,0.0,,
86,1767920868001,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-63,5240,0,0,0.0,,
87,1767920868506,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-63,5240,0,0,0.0,,
88,1767920869010,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-65,5240,0,0,0.0,,
89,1767920869514,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-65,5240,0,0,0.0,,
90,1767920870018,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-67,5240,0,0,0.0,,
91,1767920870537,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-67,5240,0,0,0.0,,
92,1767920871041,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-67,5240,0,0,0.0,,
93,1767920871545,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-64,5240,0,0,0.0,,
94,1767920872047,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-68,5240,0,0,0.0,,
95,1767920872552,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-67,5240,0,0,0.0,,
96,1767920873057,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-67,5240,0,0,0.0,,
97,1767920873562,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-67,5240,0,0,0.0,,
98,1767920874067,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-70,5240,0,0,0.0,,
99,1767920874571,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-67,5240,0,0,0.0,,
100,1767920875074,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-68,5240,0,0,0.0,,
101,1767920875592,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-68,5240,0,0,0.0,,
102,1767920876096,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-68,5240,0,0,0.0,,
103,1767920876600,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-68,5240,0,0,0.0,,
104,1767920877105,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-68,5240,0,0,0.0,,
105,1767920877610,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-70,5240,0,0,0.0,,
106,1767920878114,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-70,5240,0,0,0.0,,
107,1767920878619,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-70,5240,0,0,0.0,,
108,1767920879123,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-70,5240,0,0,0.0,,
109,1767920879628,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-70,5240,0,0,0.0,,
110,1767920880132,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-68,5240,0,0,0.0,,
111,1767920880649,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-71,5240,0,0,0.0,,
112,1767920881153,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-71,5240,0,0,0.0,,
113,1767920881658,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-70,5240,0,0,0.0,,
114,1767920882162,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-71,5240,0,0,0.0,,
115,1767920882666,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-71,5240,0,0,0.0,,
116,1767920883170,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-71,5240,0,0,0.0,,
117,1767920883675,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-72,5240,0,0,0.0,,
118,1767920884179,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-74,5240,0,0,0.0,,
119,1767920884684,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-74,5240,0,0,0.0,,
120,1767920885189,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-73,5240,0,0,0.0,,
121,1767920885708,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-71,5240,0,0,0.0,,
122,1767920886212,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-71,5240,0,0,0.0,,
123,1767920886716,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-71,5240,0,0,0.0,,
124,1767920887219,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-73,5240,0,0,0.0,,
125,1767920887724,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-74,5240,0,0,0.0,,
126,1767920888228,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-73,5240,0,0,0.0,,
127,1767920888733,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-73,5240,0,0,0.0,,
128,1767920889238,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-70,5240,0,0,0.0,,
129,1767920889742,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-72,5240,0,0,0.0,,
130,1767920890246,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-75,5240,0,0,0.0,,
131,1767920890765,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-72,5240,0,0,0.0,,
132,1767920891269,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-72,5240,0,0,0.0,,
133,1767920891774,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-69,5240,0,0,0.0,,
134,1767920892278,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-69,5240,0,0,0.0,,
135,1767920892783,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-69,5240,0,0,0.0,,
136,1767920893288,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-70,5240,0,0,0.0,,
137,1767920893792,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-70,5240,0,0,0.0,,
138,1767920894297,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-70,5240,0,0,0.0,,
139,1767920894801,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-70,5240,0,0,0.0,,
140,1767920895306,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-68,5240,0,0,0.0,,
141,1767920895815,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-70,5240,0,0,0.0,,
142,1767920896319,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-69,5240,0,0,0.0,,
143,1767920896823,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-67,5240,0,0,0.0,,
144,1767920897327,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-67,5240,0,0,0.0,,
145,1767920897831,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-66,5240,0,0,0.0,,
146,1767920898335,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-68,5240,0,0,0.0,,
147,1767920898839,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-67,5240,0,0,0.0,,
148,1767920899344,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-65,5240,0,0,0.0,,
149,1767920899848,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-65,5240,0,0,0.0,,
150,1767920900353,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-67,5240,0,0,0.0,,
151,1767920900872,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-67,5240,0,0,0.0,,
152,1767920901376,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-65,5240,0,0,0.0,,
153,1767920901881,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-64,5240,0,0,0.0,,
154,1767920902385,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-64,5240,0,0,0.0,,
155,1767920902889,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-65,5240,0,0,0.0,,
156,1767920903393,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-64,5240,0,0,0.0,,
157,1767920903897,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-65,5240,0,0,0.0,,
